Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},Densidade do ar {kg/m3}
1,1,1,89.7,14.629.777,1.045.219.678
1,1,2,89.6,14.634.664,1.045.119.626
1,1,3,89.5,14.651.639,1.043.925.361
1,1,4,89.6,14.049.064,104.572.359
1,1,5,89.5,13.398.028,1.045.626.807
1,1,6,89.6,14.730.329,1.044.604.669
1,1,7,89.5,14.556.416,1.044.439.399
1,1,8,89.6,14.509.446,1.044.251.825
1,1,9,89.7,14.906.896,1.041.200.952
1,1,10,89.7,15.733.754,1.035.963.616
1,1,11,89.8,15.611.738,1.037.669.662
1,1,12,89.8,16.588.927,1.031.872.132
1,1,13,89.7,16.729.982,1.023.908.571
1,1,14,89.7,17.808.329,10.180.728
1,1,15,89.6,175.922,101.796.365
1,1,16,89.5,16.687.269,1.021.006.965
1,1,17,89.4,17.307.291,1.014.783.095
1,1,18,89.4,16.998.572,1.016.635.031
1,1,19,89.4,16.427.247,1.019.253.581
1,1,20,89.4,15.519.111,1.026.913.607
1,1,21,89.5,15.834.711,103.033.874
1,1,22,89.6,15.294.837,1.034.115.658
1,1,23,89.7,14.771.023,1.037.882.684
1,1,24,89.7,14.558.163,1.039.997.563
1,2,1,89.7,15.188.779,1.040.740.318
1,2,2,89.7,14.697.232,1.043.323.341
1,2,3,89.7,14.504.566,1.044.352.886
1,2,4,89.6,14.236.436,1.044.699.938
1,2,5,89.6,14.509.446,1.044.251.825
1,2,6,89.6,15.373.901,1.040.698.137
1,2,7,89.6,14.978.886,1.042.768.337
1,2,8,89.8,14.832.922,1.043.194.512
1,2,9,89.7,14.865.128,1.040.914.163
1,2,10,89.8,15.526.146,1.034.643.323
1,2,11,89.8,16.069.584,1.027.147.676
1,2,12,89.8,17.667.347,1.019.774.109
1,2,13,89.8,17.900.432,101.735.667
1,2,14,89.8,16.243.484,1.016.936.444
1,2,15,89.6,16.794.552,1.012.782.893
1,2,16,89.6,17.032.135,1.011.732.185
1,2,17,89.6,16.794.552,1.012.782.893
1,2,18,89.5,1.520.745,1.026.138.048
1,2,19,89.5,14.584.603,1.029.223.786
1,2,20,89.5,141.812,1.031.269.822
1,2,21,89.7,16.595.887,1.035.620.807
1,2,22,89.7,15.532.446,1.039.470.096
1,2,23,89.7,15.188.779,1.040.740.318
1,2,24,89.8,15.413.207,1.041.178.531
1,3,1,89.9,1.495.535,1.044.155.454
1,3,2,89.8,15.014.666,1.043.252.987
1,3,3,89.8,14.583.505,1.045.030.168
1,3,4,89.7,14.355.831,1.045.669.658
1,3,5,89.6,1.431.984,1.045.278.576
1,3,6,89.7,14.344.839,1.046.762.612
1,3,7,89.7,14.261.425,1.046.182.917
1,3,8,89.8,14.255.641,1.046.283.987
1,3,9,89.8,15.467.114,1.037.905.094
1,3,10,89.8,1.535.932,1.031.070.133
1,3,11,89.8,16.852.471,1.023.476.247
1,3,12,89.8,16.966.896,102.294.928
1,3,13,89.8,17.128.872,1.017.563.752
1,3,14,89.7,16.390.131,1.016.587.739
1,3,15,89.7,15.971.607,1.013.870.033
1,3,16,89.5,16.397.293,1.008.920.724
1,3,17,89.6,16.375.631,1.010.082.286
1,3,18,89.6,16.308.393,1.012.205.372
1,3,19,89.6,15.824.409,1.026.636.919
1,3,20,89.6,15.187.434,1.029.746.719
1,3,21,89.5,14.858.333,1.032.268.193
1,3,22,89.6,14.738.991,1.033.965.704
1,3,23,89.7,14.168.679,1.038.512.377
1,3,24,89.7,13.678.213,1.042.147.061
1,4,1,89.7,13.491.343,1.043.164.491
1,4,2,89.6,13.231.238,1.043.495.744
1,4,3,89.6,13.140.114,1.044.001.838
1,4,4,89.6,12.959.453,104.501.258
1,4,5,89.5,13.010.267,1.045.191.328
1,4,6,89.5,13.051.809,1.045.480.687
1,4,7,89.6,13.298.875,1.046.241.762
1,4,8,89.6,13.706.323,1.044.498.589
1,4,9,89.7,15.425.019,1.037.523.204
1,4,10,89.8,1.527.714,1.035.398.536
1,4,11,89.8,15.632.212,1.031.673.922
1,4,12,89.8,15.385.281,1.027.558.412
1,4,13,89.7,15.327.653,1.023.407.283
1,4,14,89.6,15.048.119,102.271.495
1,4,15,89.5,14.991.227,1.018.589.012
1,4,16,89.5,14.766.354,1.015.890.368
1,4,17,89.4,14.853.937,1.013.939.436
1,4,18,89.3,14.915.632,1.013.044.791
1,4,19,89.4,14.771.291,1.019.507.508
1,4,20,89.4,14.934.292,1.023.017.132
1,4,21,89.6,15.459.532,103.279.692
1,4,22,89.7,14.030.018,1.038.738.796
1,4,23,89.7,14.585.678,104.137.113
1,4,24,89.7,14.516.443,1.039.711.668
1,5,1,89.7,15.652.883,1.037.858.576
1,5,2,89.6,1.571.318,1.036.956.521
1,5,3,89.6,14.603.052,1.040.181.789
1,5,4,89.7,14.585.678,104.137.113
1,5,5,89.5,13.051.809,1.045.480.687
1,5,6,89.5,1.292.111,1.045.695.911
1,5,7,89.5,1.296.873,1.044.902.165
1,5,8,89.6,13.132.614,1.045.084.767
1,5,9,89.7,15.922.207,1.033.550.065
1,5,10,89.8,15.484.741,1.031.912.593
1,5,11,89.8,16.724.568,1.030.257.686
1,5,12,89.8,16.640.645,1.029.696.749
1,5,13,89.8,15.506.737,1.030.831.696
1,5,14,89.6,16.570.385,1.027.863.795
1,5,15,89.6,16.780.048,1.021.655.816
1,5,16,89.5,16.044.105,1.031.748.423
1,5,17,89.5,16.253.654,1.033.162.871
1,5,18,89.5,16.044.105,1.031.748.423
1,5,19,89.4,16.063.235,1.030.564.732
1,5,20,89.5,15.938.654,1.034.728.355
1,5,21,89.5,15.918.627,1.035.818.339
1,5,22,89.6,15.900.024,1.037.005.921
1,5,23,89.7,16.007.154,1.039.050.845
1,5,24,89.8,15.885.737,1.040.762.119
1,6,1,89.7,16.049.063,1.039.337.013
1,6,2,89.7,16.049.063,1.039.337.013
1,6,3,89.6,15.348.589,1.039.319.393
1,6,4,89.5,15.366.591,1.038.130.113
1,6,5,89.5,15.533.946,1.039.275.667
1,6,6,89.5,14.996.312,1.041.576.037
1,6,7,89.6,14.923.332,1.043.573.214
1,6,8,89.6,15.515.938,104.046.626
1,6,9,89.7,15.456.126,1.041.369.516
1,6,10,89.8,15.296.419,1.042.791.735
1,6,11,89.7,1.506.748,1.033.884.864
1,6,12,89.7,15.169.378,1.028.492.547
1,6,13,89.7,16.044.547,1.021.914.479
